message	predicted
Medical shop near me	nearby
What's price  of this movie in pvr sabarmati	movies
How do i switch off a reminder ?	reminders
Can you please check train availability for trains departing from NZM to HPP?	travel
In gold Cinemax santacruz 7 pm show	shopping
I want confirmation ticket for tomorrow	travel
Green seats are available?	travel
Can u msg this number 9714990550 at 12:27	travel
10 liters	travel
Train ticket available in evening from Bangalore to kochi	travel
3star hotel in goa	travel
Thanks for your effort but that train is too late for me ill stay tomorrow night in Delhi and start day after tomorrow	travel
Check my pnr status	travel
Mumbai to dheli	travel
How many kilometers from guruvayoor to palakkad	travel
We found an awesome restaurant on the way	food
Asian sridevi mall	movies
2 Mysore sada dosa w/t cheese, 2 sada dosa, 1 medhu vada.          (tell them to give the red chutney	food
N food court also either restaurant	food
I wanted to buy a table tennis table	food
I want to purchase passion fruit or passion fruit powder	shopping
Best food in vijayawada	travel
Can u book a cab for me?	travel
Can u get me dz type choli	shopping
I have Reliance gsm offer and low call rating recharge	recharge
Vadodara	travel
M planning to visit leh ladakh	travel
Italian restaurant	food
I was looking for a grocery store near me	nearby
M looking for some ethnic stuff	shopping
J7	travel
I need a electrician	support
Any atm of punjab national bank..?	nearby
Ahmedabad to goa bus	travel
Can tell me the price of lenovo laptop with core i5 procrsser, graphic card, 4 gb ram	shopping
Hey i would like to buy 3 litre non stick pressure cooker	shopping
Hi, can you help me find a Shop which sells Car decor items and accessories....nearest to Majiwade petrol station in Thane west.	nearby
party lounge	food
If i want to eat from dominos	food
ATM	travel
I need to book a table at barbe q nation cannaught place Delhi for 8 people	travel
Gentle Reminder!	reminders
I want to have chinese	food
Taxi for me	travel
Book a ticket of train	travel
How is iPhone 7	shopping
remind me to cancel my train tickets at 2.30 pm	travel
Want to book that flight	travel
Solapur to Hyderabad train schedule	travel
Want to by LEd bulbs	travel
Gift for gF	shopping
Wanna buy helmet	shopping
Any wake up alarms active on my number?	reminders
Goa in hotel	travel
I want to buy hair dryer low cost and good quality	shopping
Any cheap holiday packages for Goa in Oct first week?	travel
Ab bje h 8 wt the hell is this i did not get the reminder any time between 8-2	reminders
Hello. Can you show me my reminders	reminders
Subway food	food
I want food  home delivery  near by Jaya engineering college!	food
List all Tamil movies running in Bangalore	movies
Cancel my wake up alarm	reminders
Date if my flight to Mumbai is on 16th October.. I want too change it	travel
Tell me the products with 50%, in jabong	shopping
Bro tel Salem train timing	travel
Which cheapest hotel or lodge in Marathalli Bangalore is available for accommodation today? Let me know immediately	travel
Please check availability in rajdhani express on same day	travel
I need to know about hotels in Ajmer on 31sr October to 1 November with three rooms and 8 persons with breakfast	travel
Kenara bank near sector noida sector 2	nearby
Shoes want	shopping
Train running info for 15658	travel
Which show time tu to gyo gujarati movie in balaji agora mall.	movies
Pls suggest me some trekking bags @ 55 ltr capacity	shopping
Any product related to minions for gifting	shopping
Looking for gym	shopping
Free internet recharge of Vodafone	recharge
I want to book tickets	travel
Hey I want to find out the status of my booking PNR.{task}	travel
Call the traveles	reminders
Wamt to book cab	travel
We have a problem with the pest control we did last	shopping
Which shoes	shopping
Pink movi review	movies
Can you search some flight after 5 in evening	travel
Task: Train Tickets	travel
Can you help me with the bus number if you can iam going to LB nagar and also I need AC bus	travel
Syndicate bank	nearby
pse check lowest flight rates from Dli to jammu on 8 oct 2016 afternoon	travel
I want to by iphone 7 plus 128 gb black	shopping
Madam, I am planning to go Mumbai from Bangalore	travel
Transportation available..??	travel
Plz stop the reminder service	reminders
how to stop reminder	reminders
headphones	shopping
Can you tell me whether it is able to book a hotel for unmarried couple in ludhiana?	travel
Can I order Golden Chana packets?	shopping
Alarm 7.30	reminders
Places to visit in Banglore	travel
Good restaurent	food
Can u find asus service center in cbe	support
Yes I want unlimited safe storage	shopping
Need City Union Bank ATM	nearby
Delhi to Nagpur to Pune	travel
Cuisine or dish: Vada Paav	food
L size	shopping
Is there is 119 full talktime offer	shopping
I want to know the cheapest n shortest way to reach old Delhi railway station to Hazrat nizammudin	travel
How much it will cost if I book 2 tickets at v3s	travel
Show me the socks	shopping
I also put a reminder for tomorrow	reminders
Flight is out of my budget ya	travel
can I recharge my d2h by this	recharge
Mechanic?	travel
You can stop sending reminders,thank you.	reminders
Black colour	shopping
Plz show me in cheap cost	shopping
Need to cooler motor winder	travel
I need a hotel to stay near West Tambaram.	travel
Electrician?	support
Mark a medicine reminder every day of this month 4 p.m	reminders
USA tourist visa agent need in chennai or Ahmedabad but I need best one	travel
Dont cancel my order	reminders
2bhk house on rent	travel
Need t a menu of veg restaurants for evening snacks	food
Adidas sports shoes	shopping
Today 11pm flight price  hyderabad to Goa  one prasn	travel
Show philips brand	shopping
Cancel all my alarms	reminders
Here is any train from ajmer	travel
Pls cancel the water reminders	reminders
Where to get eden garden tickets for ind vs new zealand test match	travel
Got any ola coupons?	travel
Can you share the menu of Shanghai express restaurant near my location?	food
Any offers on food delivery	food
Redmi note 3	shopping
Spa nearby ?	nearby
Any resto open near by	food
Need nearest orphanage address...	nearby
Want to book thane mumbai bus ticket	travel
Please tell about the movies at bathinda	travel
Agaro Mt 5014 trimmer charger	shopping
Thanks but I have ready made shop of cloth so I ve socks for sale	shopping
Any horror movie	movies
Review of flying jet	movies
Hi i want to book an cab	travel
Top ten Robery Hollywood movie	movies
Fastract store near by me	nearby
What abt nigth party for 20 people low cost non-veg with drinks near by viman nagar	food
Manmad Trip	travel
Lucknow to orai train  24/09/2016	travel
I want to buy cr2032 3V battery	shopping
Rajyaraani train live status	travel
I wanna deactivate this reminder	reminders
Any berth preference	travel
Stop the reminder of water	reminders
tell me near by vodafone store	nearby
Tell me abt iphone 7 details	shopping
I want to buy Hariom Enterprises SLF-6528 Selfie Stick  (Multicolor){product_id:3446, product_name:Hariom Enterprises SLF-6528 Selfie Stick  (Multicolor), api_id:, api_name:deal_of_day}{carousel_cta}	shopping
Fare for Bombay to Baroda via Baroda Express for second Sleeper	travel
Hiiiiii..  I shall need the review for the product which you shared in first go from snapdeal	shopping
My cars tyre is punctured.	travel
find a bus for me from bangalore airport to electronics city bangalore.	travel
Hey I don't want u to remind me for water	reminders
Hi can u tell me the train cost for chengalpattu to kadayanallur on October 14 in podhigai expreaa	travel
I want the list of KSRTC bus from kozhikode to ernakulam	travel
I want nearest tourist point in wagholi	travel
DSLR camera upto 32000?	shopping
Hie pooja	travel
XL	travel
Is there any cinema hall in Jajpur,Odisha where I can book the ticket online with less price?	movies
Can u book me a cheapest airfare from Leh to Delhi on 11th of sept	travel
Want to book tickets for baar baar dhekho	travel
Cancel the water reminder	reminders
I am looking for a bag which looks like a sling bag,  which is of large size, that i can take it to college and carry all my books in it	shopping
Set my wake up alarm for every day	reminders
please give me the price of Samsung led 22 inch	shopping
I need a ticket in 2 october from gkp to delhi	travel
Looking for Liquor shop near by	nearby
kolkata guwahati flight fare on 17.10.2016	travel
7 people	travel
Hi.. Can you book tickets for flights if tell you the complete details?	travel
Recipe of chicken chillie	food
I need a ticket to travel Bangalore today	travel
I want to cancel my order	food
Cancel my water remainder	reminders
Pls tell one stop flight to indore from jaipur	travel
Thank u Rakshith. Hw wud I make payment if u book d ticket	travel
Hey i need case for my xiaomi 3s prime	shopping
Set alarm for after 22 minutes	reminders
When will reach bus number 543	travel
iPhone 5s 16 gb what's the best offer	shopping
I need to turn off the remainders	reminders
Till not get my 300 refund	reminders
Malayalam	movies
What will the travel package for a trip to UK in the month of December 2016	travel
Beauty products	shopping
Are seats available in karnavati	travel
Hi can we stop the early morning alarm which u have set for me , about 5 am ?	reminders
Ambala to Bhilwara train any day and route	travel
Lenovo ibe k5 plus	shopping
Car washing machine	shopping
YA glenn temme some non veg restaurant	food
Ma'am... M nt happy with the product quality... I request you to return it	shopping
Can you suggest some travel options for shimla on 25th sept	travel
Travel hand bag	travel
3 k	travel
Best dala plan for Vodafone prepaid	recharge
In rajkot which cinema	travel
Flight ticket from surat to patna	travel
Hi riddhi. I wanted to select my seat on my flight to Mumbai for the day after. Hope you can help me on that.	travel
Find me a travel package to Manali from Amritsar	travel
Can u plz turn off this reminder	reminders
Tomorrow reminder for mock test	reminders
I got my order	food
Pls find a cheapest flight offer for one person oct 2 or 3 2016 ... Timings morning or aftrnoon or evening ..	travel
Can u please look for price of jbl headphones	shopping
I am searching for 40inch TV with exchange offer facility	shopping
12003 train running status	travel
Can u tell my train status	travel
You only sent me my boarding pass, what about anshus boarding pass	travel
Hi i want offers in airtel	recharge
Can you tell train or for Trimbakeshwar from Hyderabad	travel
No other movies?	movies
Sleeper?	travel
Moto g authorised service center	support
Can u book cab for me	travel
Nearby reliance store	nearby
Could u please cancel my 9.20am and 7 pm reminder plz	reminders
Please give me plan for 4 night 5 day in Goa.	travel
From tomorrow onwards	reminders
Shoes?	shopping
Any Telugu movies	movies
Could you get me good Videocon dth recharge offer.....	shopping
Tel me which Tamil movie releasing this weekend	movies
Give me train details from Kolkata to ooty.....I need elaborate details	travel
Pvr vinema	travel
Want to book tickets for the movie pink	movies
Any pizza scheme	food
List of hotels in mysore	travel
I need daily alarm	reminders
Looking for broad strap watch below 150	shopping
The warehouse cafe	food
Hi need to find a Kotak atm near me	nearby
Yes check trains of noght only	travel
Hey what about the money refund	recharge
Give me details about the train of same pnr status	travel
And Boi nearest	nearby
Order a pizza	food
Status please	travel
plz see the availability of seats in shinhagar express (dadar to pune) dated on 25 setp 2016	travel
Plz check availability from guy to siliguri in Rajdhani 1ac	travel
Kindly cancel all my wake up calls scheduled for today!	reminders
How much is ola taking for damab	travel
Pl tell me air india flight timings from delhi to goa	travel
No flights after 2 in the afternoon??	travel
I want to stop all reminders	reminders
In which theatre is this movie	movies
Find me a Vodafone store near Dadar station (E)	nearby
Please call	reminders
Get me recharge coupon codes airtel	recharge
No I want a sbi atm	shopping
Any 3D movies in chennai now	travel
which trains halt there?	travel
Hi i am travelling to tanzania on 27th september i need to know what are all the places to see/visit there	travel
Bar and restaurent	food
Can u please tell me the seat no	travel
I wanted to buy a selfie stick	shopping
Tel me  today's best deals  on mobiles and tvs	shopping
Pappanmcode tvm food available	food
Cheapest deals on stun gun	shopping
Ola coupon for Lucknow	travel
just want to know are the trains workings form Mumbai to ratnagiri?	travel
Please activate dnd on my mobile	reminders
Innar cloth	shopping
Hello can u check train availability for Jalgoun to mumbai on Wednesday night train ?	travel
how about Ksrtc bus status towards Hosur	travel
18509 15.10.2016.sleeper class	travel
I want go nashik to  pune give me  all info  like  bu. Train  and traval  distance	travel
Call me on this number 09718440001	reminders
Size 41	shopping
How far is d airport(Dabolim) from resort ?	travel
Reminder call at 7 am tomorrow	reminders
Can we have current rate of tickets  of movie  pink  wenesday  21/9/2016 inox at Udaipur	movies
I need to travel from Pondicherry to mangalore	travel
After 15 minutes remind me to turn the gas off	reminders
Subway Egmore	travel
Any buses or trains from Kochi to Reissue?	travel
I need breakfast	travel
I need some watch with best deal madam	shopping
Ya send me the menu pls	food
Oppam film vadakumchery theatre name	movies
Can you order jeans from myntra too ?	shopping
I want to order KFC	food
I just want to know that... Is there any local train available From Nagpur to wardha. Before 7am	travel
What movies showing in pondicherry	travel
the cheapest iPhone 7	shopping
Hi what's starting range of Philips trimmer?	shopping
Women condom	shopping
How much it will cost a flight tiket from trivandrum to cochin	travel
Or any tatkal ticket availables	travel
When did i ask for a wake up alarm	reminders
Is it okay to visit Goa in October	travel
Show me some pics of iphone 7	shopping
Vapi to madurai	travel
Origin city ahemadabad	travel
Can u send me coupon codes for ola cabs?	travel
Reilance store near by	nearby
Please do call	reminders
I would like to recharge	shopping
I would like to know the review	shopping
Remind me to contact Tata sky on 09  Oct 2016 at 9 AM	reminders
Can you please confirm the seat? The boarding pass says 3A	travel
Pls set reminder for today 10.30 AM to pay mobile bill	reminders
i want to book an ola cab from my location to pune airport. my ola app is not working	travel
Samsung phone with nano sim	shopping
Brand like red chief	shopping
Tatanagar to new delhi	travel
Its okay .. I'll order some other time	travel
Hp	travel
Hey dear tell me rent between njp to bkn sleeper class adult 12	travel
Send me a text also please as reminder	reminders
Train no 122277	travel
Send me details of iPhone 7	shopping
Are there buses from Mumbai	travel
windows installation error  0x8007025D	travel
Tell me movie timings.?	movies
Any bus right now from himatnagar to Bharuch	travel
Help me to travel to chandigarh from gurgaon	travel
I want to shop shirt	shopping
Thus local buses are runing tommrow	travel
What  is the time of Guwahati to JAGIROAD train	travel
Which account number you gave to snapdeal to refund my amount?	reminders
Nearby jain food restaurant	food
Near	nearby
Cancel my all reminders	reminders
wat r d new apple products launchin	shopping
I want to buy Puma sports sandal	shopping
Please book me a cab	travel
Search me buses that have boarding points near majestic	travel
Remind me to call smita	reminders
How about the exchange policy for the product.? If I have size issues.?	shopping
Hi, please cancel all the reminder from now. Thanks.	reminders
Briyani	travel
goa air ticket in november 20	travel
Remind me the status	reminders
Hi Im looking for car to buy	shopping
Can I exchange my iPhone 6S to buy 7	shopping
California	travel
I want hdfc atm	nearby
can I get soya sauce as home delivery?	food
Can you find me a place in blot for lunch	travel
Thodari review?	movies
Petrol pumps nearby?	nearby
Stop all the reminder alarms	reminders
Dell inspiron 15r lcd screen	shopping
I need good cash back coupon on MTS postpaid bill	recharge
What should i wear in fresher in casual	shopping
Todays show time of banjoo movie of pvr and rama big cinema	movies
Now cancel this reminder	reminders
Yeah. I don't want to miss idly vada tomorrow. So wake me up	reminders
Honeymoon Travel packages for andaman	travel
Sony Xperia customer care toll free number	shopping
Please order a tenda f3 wifi router for me from amazon	shopping
Set me a reminder	reminders
I already got the tickets	travel
Comparison of KTM Duke 200 and KTM duke 390	shopping
The white one, u show me that day	shopping
Nearest sony handycam service center to ruby general hospital ?	nearby
Best gym	shopping
Defence concession	travel
Moja club socks is sports ir casual?	shopping
16525 train timetable	travel
Cancel my water reminder plz...	reminders
I even want call reminder for my dance class	reminders
"Hey, can you find me the nearest ""Naturals"" parlour?"	nearby
Required washing  machine Videocon make semiautomatic repair	shopping
I need  2 innova to be pick us from Goa Airport on 29th September and drop us at North goa at hotel hard rock Cafe. Pls let me know the cost. I will confirm the time later	travel
Set reminders	reminders
Best places to visit on Ahmedabad	travel
i want to make a new reminder	reminders
Send me iPhone 7 picture	shopping
I am looking for HR training professional coaching classes.	nearby
New movies list plz	movies
Remind me to fill the petrol tank tomorrow at 8.30 am.	reminders
Gionee elife s5.5 price	shopping
More details of iphone 7	shopping
Hey, can you connect me with customer care of a company? Airtel dth	support
Is there any scheme of ola cabs or any other for free rides	travel
Adidas superstar shoes	shopping
Indigo luggage limit	travel
Im looking for a headphone under 2000 rs	shopping
Could u get me the running status of train number 12678	travel
How to check reliance prepaid internet balance	recharge
Tell me the best package for Uzbekistan	travel
Lay and ladakh	travel
About iphone 7	shopping
Could you check again for the 4 pm Indigo flight	travel
Hey any offers on dominoes	food
Indigo airlines flight from Mumbai to Goa at 12.15 PM will come at domestic airport or international airport?	travel
Plzz findseat availability	travel
DT city centre mall or grand cinemas	movies
I want to sell my scooty activa	shopping
Airtel service centre in virar west	support
Need a driver for a day	travel
Mumbai Rajdhani and duranto	travel
Fulkanama express today from sec to vijaynagaram	travel
I need the fare of train  and flight	travel
Remind me on 11.10.2016 at 8.15 am to recharge idea data pack	recharge
all products have 60%????	shopping
What are the cheapest flights for the day	travel
Hi need a reservation at tamasha restaurant new delhi	food
hi manal, can you stop my water reminders	reminders
What is net balance inquiry number of aircel	recharge
I want to know nearby hotels	travel
Check ashtray in ebay	shopping
Bluetooth speakers	shopping
Xiomi service centre in varanasi	support
show me 22 October	travel
Cab booking?	travel
Conditioner	shopping
hi..i want to book tickets for a play at prithvi theatre..salaam 1950s k naam	movies
Reminder should be for enrollment	reminders
I did not set thr morninh alarm did i??	reminders
Can you tell me the available seats seats for podhigai exp..from chennai Egmore to sengotai..travelling date is 21/09/2016	travel
I want cab for tomorrow	travel
Hey where can i get john cena t shirts	shopping
I need hdfc atm	nearby
Already book my flight ticket with return	travel
Hiking shoes	shopping
Xiomi redmi note 3 grey black	shopping
Hey turn off reminders	reminders
Rajhans cinema navsari, gujara	movies
Mobile deals	shopping
Rent room for bachelors	travel
Hey, can you remind me about something?	reminders
can I get nearest SBI working ATM	nearby
Cash back offer	shopping
Flight to Chandigarh	travel
Delete all my reminders	reminders
i want long printed skirt wid slit	shopping
Make it 1 chicken biryani n pls cancel	food
I want to set another reminder	reminders
Hi I need to know what's the cheapest 28d/ monthly 3G plan across Vodafone, idea and Docomo networks	recharge
Micromax q345 covers	shopping
another bus stand tell me	travel
Plz set reminder morning	reminders
And wake up call number 8094946654	reminders
So say minutes pack of vodafone	recharge
Mechanic	travel
Need a call	reminders
Hotel booking	travel
Thanks for the drinking reminder I don't need you to remind me for that again	reminders
Remind me at 12:23 for my lunch	reminders
Wanna dinner	travel
Coorg	travel
AC 2 tier train details from Guwahati to Chennai before 23th of September	travel
Sorry I want earphones not headphones	shopping
Place to visit in Mumbai	travel
Flight cost from new Delhi to paro	travel
Can u give me movie timings?	movies
Hi, I am interested in Enticing Andaman 4 Nights 5 Days package. Please tell me more about it. {product_id:849, product_name:Enticing Andaman 4 Nights 5 Days, api_id:8, api_name:travel}{carousel_cta}	travel
Any exclusive offer for shoes?	shopping
Brother is the 10'0 clock bus A/C bus?	reminders
32gb rom 3gb ram	travel
Can u plz book my ticket to Diljeet show	travel
Is there a AC bus on 27th or 28th october in morning	travel
Show me about orian mall?	movies
Also can u check why boarding time is 2 hours prior.	travel
Food	food
Erode Trichy trains	travel
Want to buy some bra	shopping
Do u tell me about laser skin treatment?	shopping
Please suggest nearest bakeries which has cakes and provide home delivery	food
Find me nearest state bank of India	nearby
But there is no pvr or inox in my town	movies
Kindly deactivate DND on my phone	reminders
Call me Shraddha	reminders
Can u provide me company detail of skemi watches	shopping
Could u tell me the nearest axis bank branch	nearby
Pune to Jejuri...distance	travel
Delhi to Ambala Rail ticket for sleeper coch???	travel
Small panty pls	shopping
Plz check flight ceap rate from imphal to delhi on 21 oct	travel
Mungarumale 2  kannada film	movies
Show of some good brand	shopping
Roaming packs for aircel.	recharge
Cancel that 3.53 am	reminders
Dogs clothes	shopping
Cancel my wake up call at	reminders
Hey are trains available from Selem to Bangalore ??	travel
*go	travel
Any g shock watches ?	shopping
Can I get full slives t shirts	shopping
All variants of iphone7	shopping
Honda jazz on road price	travel
Hey,Can u get me packages of Singapore, Malaysia nd pataya?	travel
do i get any cash back on recharge	recharge
I want. Black forest cake	shopping
Please provide me the best price for i phone 5 s	shopping
Can you remove all the wake up calls.	reminders
Which movies are running now?	movies
Check fares on 26th October for flight	travel
Don't reminder	reminders
I dont want the reminder any more plz stop it	reminders
Lowest priced bean bags with bean	shopping
Hdfc atm	nearby
Best chinese restaurants near by	food
ETA mall	movies
Hiii Varnika can u tell fare of this train	travel
Is flight for tomorrow from guwahati to bangalore got cancelled?	travel
Subway in dlf mega mall ??	food
Hey can u find me the nearest petrol pump	nearby
I need ucb shorts	shopping
Kota  to jaipur.   Last train	travel
KFC	travel
Please find running status for train 12334	travel
Awake me at 8am	travel
OK now available in Sarawak from new Delhi to Chandigarh on 30th Dec and what will be the total fair in 1st AC for 4 ppl	travel
I want breakfast from mcdonalds	food
Papas Birthday reminder for tomorrow	reminders
I want to buy a samsung gear vr	shopping
Pls send me the menu for kanha	food
Udaipur	travel
Rates of flights for Delhi to Goa n vice versa	travel
I m looking to stay in goa for 25 sep to 30 sep	travel
Please  remind  me  of  exam on 25 September  5 pm	reminders
Hey pls find me a hotel near rajasthan bhavan tagarikanaka hyderabad	travel
Mi service center in ctc	support
I want  mobile charging original cord of Moto g3	shopping
Please send me every details of Redmi note 3 silver 32 gb.	shopping
Please set snoozer alarm also	reminders
Bank of India Atm	nearby
Please dont remind me about driniking water...i hvnt set tht reminder	reminders
Casual shoes	shopping
